City,State,StateCode,City_State,Latitude,Longitude,car_percent,medianRent,white_percent,nonwhite_percent,foreign_born_percent,NR_percent,construction_percent,manufacturing_percent,sales_percent,transpo_percent,info_percent,finance_percent,sci_percent,edu_percent,arts_percent,other_percent,PA_percent,republican,democrat,bars_pp,restaurants,parks_pp,activities_pp,nightlife_pp,nightlife,activities,museums_pp,max_avg_high,max_avg_low,mean_diff,international_airport,transit,amtrak,crime_rate,pop_density
Minneapolis,Minnesota,MN,"Minneapolis, Minnesota",44.9772995,-93.2654692,0.653743,1448,0.673,0.327,0.128,0.006,0.048,0.133,0.127,0.046,0.018,0.087,0.135,0.248,0.075,0.042,0.034,1,7,0.0002,0.0006,0.0001,0.0006,0.0002,0.0003,0.0006,0.0000,96.4,-16.9,113.3,1,2,1,66.28,7962.11
Rochester,Minnesota,MN,"Rochester, Minnesota",44.0234387,-92.4630182,0.616973,1446,0.716,0.284,0.134,0.002,0.041,0.072,0.105,0.013,0.008,0.037,0.061,0.524,0.069,0.039,0.031,1,7,0.0005,0.0024,0.0002,0.0018,0.0005,0.0010,0.0019,0.0001,93,-19.6,112.6,1,2,1,20.91,2184.07
Jackson,Mississippi,MS,"Jackson, Mississippi",32.2998686,-90.1830408,0.761901,1110,0.402,0.598,0.025,0.007,0.047,0.071,0.14,0.062,0.02,0.062,0.103,0.27,0.102,0.059,0.057,7,0,0.0003,0.0017,0.0001,0.0009,0.0004,0.0006,0.0010,0.0001,99.7,17.6,82.1,1,2,1,44.28,1375.82
Kansas City,Missouri,MO,"Kansas City, Missouri",39.100105,-94.5781416,0.736459,1254,0.668,0.332,0.088,0.005,0.063,0.092,0.131,0.065,0.022,0.094,0.146,0.22,0.078,0.042,0.042,7,0,0.0002,0.0007,0.0001,0.0005,0.0002,0.0005,0.0006,0.0001,101.7,-0.7,102.4,1,2,1,63.18,1614.38
St. Louis,Missouri,MO,"St. Louis, Missouri",38.6280278,-90.1910154,0.73989,1146,0.66,0.34,0.07,0.006,0.051,0.101,0.126,0.053,0.02,0.084,0.133,0.258,0.086,0.05,0.033,7,0,0.0002,0.0006,0.0001,0.0004,0.0002,0.0004,0.0005,0.0000,100.7,1.2,99.5,1,2,1,87.1,4886.23
Bozeman,Montana,MT,"Bozeman, Montana",45.6794293,-111.044047,0.676494,1852,0.865,0.135,0.048,0.022,0.091,0.029,0.154,0.04,0.021,0.076,0.132,0.23,0.121,0.052,0.031,6,1,0.0012,0.0029,0.0003,0.0044,0.0013,0.0025,0.0046,0.0002,94.8,-18.7,113.5,0,0,0,22.66,2554.43
Lincoln,Nebraska,NE,"Lincoln, Nebraska",40.8088861,-96.7077751,0.754105,1024,0.788,0.212,0.082,0.011,0.052,0.101,0.114,0.045,0.016,0.077,0.11,0.275,0.095,0.048,0.056,7,1,0.0005,0.0023,0.0001,0.0017,0.0006,0.0011,0.0018,0.0001,101.7,-2.5,104.2,0,1,1,33.02,2937.67
Omaha,Nebraska,NE,"Omaha, Nebraska",41.2587459,-95.9383758,0.741141,1188,0.714,0.286,0.093,0.009,0.065,0.086,0.131,0.059,0.018,0.105,0.126,0.242,0.083,0.041,0.035,7,1,0.0004,0.0011,0.0001,0.0007,0.0004,0.0008,0.0007,0.0000,99.8,-10.6,110.4,1,2,1,40.38,3658.41
Las Vegas,Nevada,NV,"Las Vegas, Nevada",36.1672559,-115.148516,0.699889,1662,0.422,0.578,0.224,0.004,0.076,0.038,0.126,0.087,0.017,0.061,0.131,0.16,0.222,0.041,0.035,1,6,0.0005,0.0019,0.0000,0.0015,0.0006,0.0012,0.0015,0.0001,113.6,8,105.6,1,2,1,35.41,4525.16
Reno,Nevada,NV,"Reno, Nevada",39.5261206,-119.8126581,0.687926,1618,0.615,0.385,0.15,0.008,0.079,0.103,0.134,0.069,0.012,0.051,0.132,0.194,0.136,0.042,0.039,1,6,0.0008,0.0024,0.0003,0.0024,0.0008,0.0016,0.0025,0.0001,102.6,5.6,97,1,2,1,32.36,2426.54
Manchester,New Hampshire,NH,"Manchester, New Hampshire",42.9956397,-71.4547891,0.709777,1647,0.785,0.215,0.124,0.001,0.066,0.126,0.152,0.052,0.018,0.083,0.109,0.261,0.074,0.037,0.021,3,4,0.0007,0.0028,0.0001,0.0026,0.0007,0.0013,0.0027,0.0001,97,-4.6,101.6,0,1,1,28.9,3497.05
Atlantic City,New Jersey,NJ,"Atlantic City, New Jersey",39.3642852,-74.4229351,0.693978,1323,0.595,0.405,0.158,0.005,0.056,0.042,0.093,0.043,0.011,0.063,0.093,0.262,0.23,0.044,0.056,0,7,0.0006,0.0020,0.0000,0.0012,0.0007,0.0013,0.0012,0.0001,98.1,4.4,93.7,1,2,1,97.09,3577.8
Albuquerque,New Mexico,NM,"Albuquerque, New Mexico",35.0841034,-106.650985,0.725524,1232,0.496,0.504,0.099,0.01,0.065,0.056,0.117,0.043,0.018,0.057,0.166,0.264,0.097,0.051,0.055,0,7,0.0003,0.0020,0.0002,0.0014,0.0003,0.0006,0.0015,0.0001,100.8,10.9,89.9,1,2,1,62.76,3014.68
Buffalo,New York,NY,"Buffalo, New York",42.8867166,-78.8783922,0.725026,1066,0.716,0.284,0.078,0.003,0.048,0.106,0.123,0.056,0.013,0.082,0.107,0.284,0.082,0.047,0.048,0,7,0.0003,0.0012,0.0001,0.0010,0.0003,0.0007,0.0011,0.0001,91.5,-20,111.5,1,2,1,40.88,6893.41
New York City,New York,NY,"New York City, New York",40.7127281,-74.0060152,0.442813,1763,0.444,0.556,0.31,0.002,0.057,0.052,0.109,0.065,0.031,0.091,0.152,0.272,0.082,0.048,0.04,0,7,0.0003,0.0008,0.0001,0.0008,0.0003,0.0005,0.0009,0.0000,97,7.7,89.3,1,2,1,38.22,29302.7
Charlotte,North Carolina,NC,"Charlotte, North Carolina",35.2272086,-80.8430827,0.605555,1656,0.492,0.508,0.16,0.003,0.07,0.086,0.123,0.066,0.023,0.131,0.164,0.181,0.083,0.048,0.023,6,2,0.0004,0.0013,0.0001,0.0010,0.0004,0.0008,0.0010,0.0000,98,12.6,85.4,1,2,1,41.95,2821.06
Durham,North Carolina,NC,"Durham, North Carolina",35.996653,-78.9018053,0.628578,1562,0.475,0.525,0.154,0.002,0.052,0.08,0.098,0.029,0.017,0.049,0.184,0.336,0.074,0.041,0.039,6,2,0.0004,0.0017,0.0001,0.0015,0.0004,0.0008,0.0015,0.0001,99.6,12.1,87.5,1,2,1,40.78,2457.51
Fayetteville,North Carolina,NC,"Fayetteville, North Carolina",35.0525759,-78.878292,0.739454,1232,0.395,0.605,0.074,0.003,0.058,0.091,0.135,0.075,0.013,0.038,0.111,0.255,0.094,0.049,0.077,6,2,0.0003,0.0018,0.0000,0.0010,0.0003,0.0006,0.0010,0.0000,100.5,15.3,85.2,0,1,1,44.64,1406.34
Greensboro,North Carolina,NC,"Greensboro, North Carolina",36.0726355,-79.7919754,0.728399,1202,0.429,0.571,0.12,0.002,0.045,0.125,0.151,0.071,0.01,0.073,0.103,0.253,0.105,0.04,0.021,6,2,0.0005,0.0024,0.0001,0.0018,0.0006,0.0011,0.0018,0.0001,97.4,11.8,85.6,1,2,1,46.35,2275.59
Raleigh,North Carolina,NC,"Raleigh, North Carolina",35.7803977,-78.6390989,0.630924,1653,0.576,0.424,0.157,0.007,0.055,0.094,0.11,0.038,0.021,0.087,0.234,0.196,0.072,0.042,0.045,6,2,0.0003,0.0010,0.0001,0.0009,0.0003,0.0006,0.0009,0.0000,99.6,12.1,87.5,1,2,1,28.68,3148.33
Fargo,North Dakota,ND,"Fargo, North Dakota",46.877229,-96.789821,0.784346,992,0.808,0.192,0.066,0.016,0.067,0.088,0.15,0.039,0.021,0.091,0.098,0.28,0.072,0.045,0.034,7,0,0.0005,0.0021,0.0001,0.0013,0.0006,0.0011,0.0014,0.0000,95.8,-25,120.8,0,1,1,46.99,2620
Cincinnati,Ohio,OH,"Cincinnati, Ohio",39.1014537,-84.5124602,0.732876,1122,0.721,0.279,0.068,0.004,0.051,0.13,0.136,0.057,0.014,0.077,0.136,0.233,0.082,0.046,0.033,6,1,0.0003,0.0008,0.0001,0.0008,0.0004,0.0007,0.0009,0.0001,95.3,-2.7,98,1,2,1,46.34,3969.98
Columbus,Ohio,OH,"Columbus, Ohio",39.9622601,-83.0007065,0.690003,1305,0.606,0.394,0.13,0.003,0.047,0.076,0.13,0.075,0.019,0.102,0.132,0.252,0.082,0.04,0.041,6,1,0.0003,0.0010,0.0001,0.0008,0.0003,0.0006,0.0008,0.0000,95,-0.9,95.9,1,2,1,40.13,4109.64
Oklahoma City,Oklahoma,OK,"Oklahoma City, Oklahoma",35.4729886,-97.5170536,0.767096,1177,0.572,0.428,0.099,0.023,0.065,0.067,0.146,0.056,0.014,0.07,0.121,0.231,0.085,0.057,0.065,7,0,0.0003,0.0014,0.0001,0.0007,0.0004,0.0007,0.0008,0.0001,103.8,7.5,96.3,1,2,1,37.18,1122.96
Tusla,Oklahoma,OK,"Tusla, Oklahoma",36.391142,-95.044788,0.756228,1107,0.601,0.399,0.098,0.012,0.07,0.107,0.14,0.066,0.018,0.062,0.114,0.228,0.089,0.056,0.037,7,0,0.0010,0.0000,0.0003,0.0000,0.0009,0.0019,0.0002,0.0002,103.9,4.6,99.3,1,1,0,51.88,2088.67
Eugene,Oregon,OR,"Eugene, Oregon",44.0505054,-123.0950506,0.652326,1406,0.77,0.23,0.049,0.019,0.054,0.091,0.133,0.03,0.013,0.045,0.121,0.3,0.093,0.053,0.046,0,7,0.0006,0.0030,0.0003,0.0021,0.0006,0.0013,0.0021,0.0001,100.6,17.1,83.5,0,1,1,37.63,3995.07
