City             ,State                ,StateCode ,CensusCode ,Population ,sameHouse1yr ,transportCar ,publicTransport ,medianIncome ,employment ,rent    ,own     ,housingTenure ,medianValue ,medianRent ,white   ,black   ,asian   ,twoPlusRaces ,hispanic ,foreignBorn ,commuteless10 ,commute10to29 ,commute30to59 ,commute60plus ,counttraveltime ,youngAdults ,industryTotal ,naturalReasources ,construction ,manufacturing ,wholesale ,retail ,transportation ,information ,finance ,scientific ,education ,arts   ,other  ,publicAdmin ,housingTypeTotal ,units1  ,units2 ,units3or4 ,units5or9 ,units10plus ,otherType
Chicago          ,Illinois             ,IL        ,     16264 ,   8489066 ,     7498122 ,     2637739 ,        2637739 ,       86849 ,   4634509 ,1191845 ,2182629 ,      3374474 ,     321100 ,      1405 ,4264796 ,1427730 , 665326 ,     1114630 , 2135021 ,    1681839 ,       319443 ,      1534012 ,      1331949 ,       444717 ,        3630121 ,     741879 ,      4390353 ,            11775 ,      214611 ,       482924 ,   107478 ,418793 ,        328996 ,      79693 , 349750 ,    662464 ,  1010890 ,378000 ,204045 ,     140934 ,         3601002 ,2055217 ,228568 ,   278776 ,   279689 ,     727695 ,    31057
Indianapolis     ,Indiana              ,IN        ,     41212 ,   1740984 ,     1487031 ,      662937 ,         662937 ,       79550 ,    951403 , 247529 , 455051 ,       702580 ,     290400 ,      1247 ,1112851 , 314620 ,  83276 ,      148040 ,  172990 ,     192559 ,        83483 ,       399626 ,       245551 ,        35839 ,         764499 ,     153924 ,       915798 ,             3213 ,       52592 ,       104042 ,    23602 , 96950 ,         61459 ,      13046 ,  69365 ,    123142 ,   222175 , 69361 , 40982 ,      35869 ,          750018 , 543706 , 11733 ,    36571 ,    50455 ,      97079 ,    10474
South Bend       ,Indiana              ,IN        ,     83116 ,    275725 ,      239642 ,       97782 ,          97782 ,       63213 ,    140449 ,  34990 ,  73306 ,       108296 ,     189200 ,      1066 , 193733 ,  35487 ,   7639 ,       28817 ,   29370 ,      19820 ,        18148 ,        77191 ,        20204 ,         4033 ,         119576 ,      32004 ,       133445 ,              556 ,        7270 ,        23973 ,     3048 , 13117 ,          7178 ,       1910 ,   6829 ,     11228 ,    39296 ,  9517 ,  6331 ,       3192 ,          120400 ,  93084 ,  1788 ,     5512 ,     6823 ,      10864 ,     2329
Lawrence         ,Kansas               ,KS        ,     48232 ,     96380 ,       69017 ,       35303 ,          35303 ,       62707 ,     55561 ,  23463 ,  18159 ,        41622 ,     293700 ,      1033 ,  71519 ,   5524 ,   4823 ,       11732 ,    8159 ,       6707 ,         9880 ,        19521 ,        11497 ,         1518 ,          42416 ,      23981 ,        52400 ,              276 ,        2419 ,         3171 ,      734 ,  6887 ,          1515 ,       1465 ,   3324 ,      7398 ,    15929 ,  4993 ,  2822 ,       1467 ,           44648 ,  25550 ,  1698 ,     3209 ,     2924 ,      10277 ,      990
Wichita          ,Kansas               ,KS        ,     95077 ,    501760 ,      422397 ,      199456 ,         199456 ,       65663 ,    262618 ,  79763 , 123174 ,       202937 ,     206800 ,       979 , 340575 ,  41996 ,  21250 ,       69353 ,   87339 ,      43027 ,        33519 ,       161982 ,        27407 ,         7829 ,         230737 ,      49082 ,       249538 ,             3391 ,       15902 ,        40383 ,     4842 , 28638 ,         13745 ,       3708 ,  15664 ,     25456 ,    56875 , 21774 ,  9635 ,       9525 ,          221029 , 165479 ,  5496 ,    10728 ,     8803 ,      24683 ,     5840
Louisville       ,Kentucky             ,KY        ,     51755 ,    965005 ,      823601 ,      341809 ,         341809 ,       65820 ,    498186 , 144224 , 267563 ,       411787 ,     246100 ,      1111 , 646903 , 168983 ,  26665 ,       96806 ,   77222 ,      83294 ,        43591 ,       263286 ,        87065 ,        14453 ,         408395 ,      79572 ,       474752 ,             1048 ,       21487 ,        65593 ,     9498 , 46077 ,         41065 ,       5585 ,  38050 ,     50399 ,   114293 , 44500 , 23143 ,      14014 ,          447676 , 309134 ,  9796 ,    26234 ,    34831 ,      60821 ,     6860
Lafayette        ,Louisiana            ,LA        ,     46045 ,    231548 ,      202302 ,       88459 ,          88459 ,       64528 ,    119023 ,  33816 ,  62102 ,        95918 ,     242700 ,       972 , 142514 ,  61494 ,   4609 ,       19858 ,   15850 ,      12084 ,        13995 ,        63247 ,        20111 ,         4592 ,         101945 ,      18505 ,       114813 ,             6163 ,        8921 ,         6137 ,     2499 , 13358 ,          4780 ,       1696 ,   7669 ,     13737 ,    29195 , 12289 ,  5049 ,       3320 ,          107349 ,  74751 ,  1915 ,     4659 ,     4592 ,      12402 ,     9030
New Orleans      ,Louisiana            ,LA        ,     62677 ,    918752 ,      811945 ,      306292 ,         306292 ,       60502 ,    458780 , 145705 , 237318 ,       383023 ,     267200 ,      1160 , 392537 , 344762 ,  31204 ,       98876 ,  124394 ,      91387 ,        45115 ,       206884 ,       107519 ,        20369 ,         379887 ,      72973 ,       432884 ,             2475 ,       32559 ,        24402 ,    10095 , 39919 ,         30471 ,       5611 ,  23672 ,     56079 ,   110415 , 52643 , 22405 ,      22138 ,          447450 , 295959 , 39603 ,    26344 ,    18708 ,      57752 ,     9084
Boston           ,Massachusetts        ,MA        ,     09271 ,   4355184 ,     3786006 ,     1347669 ,        1347669 ,      109693 ,   2518796 , 708677 ,1018347 ,      1727024 ,     661000 ,      2017 ,2750626 , 367447 , 421043 ,      488641 ,  608540 ,     958660 ,       173726 ,       803682 ,       707439 ,       270750 ,        1955597 ,     435169 ,      2415234 ,             5422 ,      140609 ,       199134 ,    33959 ,208812 ,         92162 ,      52954 , 194269 ,    435521 ,   668087 ,191324 ,103999 ,      88982 ,         1827377 , 893744 ,197759 ,   210426 ,   106901 ,     405663 ,    12884
Baltimore        ,Maryland             ,MD        ,     04843 ,   2189589 ,     1903204 ,      749785 ,         749785 ,       87972 ,   1181470 , 333162 , 553348 ,       886510 ,     364400 ,      1565 ,1005334 , 751120 , 151639 ,      160170 ,  196140 ,     297456 ,        75255 ,       445726 ,       324386 ,        89258 ,         934625 ,     188283 ,      1119731 ,             2628 ,       59854 ,        55220 ,    18825 ,100238 ,         63206 ,      18467 ,  62893 ,    177377 ,   306862 , 89324 , 54064 ,     110773 ,          954264 , 664682 , 19400 ,    25770 ,    61539 ,     176008 ,     6865
